id;user_id;platform_id;origin;destination;distance_km;amount;tip;product_type;notes;occurred_at;created_at;package_count;package_unit_price;started_at;ended_at;break_minutes;start_km;end_km
a43561eb-9b00-48b7-96c1-7f4347339227;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;28.00;195.00;0.00;pacote;;2026-04-27 20:30:00+00;2026-05-06 00:53:13.31625+00;65;3;;;0;0;0
a0a7eb30-6368-4b77-b1d9-cfc15dfd9a7b;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;25.00;150.00;0.00;pacote;;2026-04-28 20:10:00+00;2026-05-06 00:54:26.018728+00;50;3;;;0;0;0
3cc22412-6662-4647-a5ea-054ef073eff4;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;15.00;84.00;0.00;pacote;;2026-04-29 19:30:00+00;2026-05-06 00:55:24.18598+00;28;3;;;0;0;0
b50177fb-52b6-4998-b7d8-554c01d976c1;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;18.00;78.00;0.00;pacote;;2026-04-30 19:55:00+00;2026-05-06 00:56:12.157962+00;26;3;;;0;0;0
6ace7cf7-a9f3-4c29-9177-2f1516353bd3;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;20.00;60.00;0.00;pacote;;2026-05-01 19:35:00+00;2026-05-06 00:57:10.318504+00;20;3;;;0;0;0
7aa77751-3030-41d2-84f8-9908fcb8c434;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Dubla - Hilda + Principal Alta;25.00;210.00;0.00;pacote;;2026-05-03 21:57:00+00;2026-05-06 00:58:31.283933+00;70;3;;;0;0;0
bc4ac0f3-a9be-4d03-8638-a59155639cab;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;22.00;210.00;0.00;pacote;;2026-05-04 19:52:00+00;2026-05-06 01:00:24.130116+00;70;3;;;0;0;0
20fcda10-2f40-42ca-bcf0-a504bf1ab998;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;22.00;111.00;0.00;pacote;;2026-05-06 01:00:00+00;2026-05-06 01:01:44.889262+00;37;3;;;0;0;0
9cb089d2-10ba-47fa-a8aa-50a7b1a7a402;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Final de Linha;3.80;114.00;0.00;pacote;;2026-05-06 11:25:00+00;2026-05-07 01:57:49.617589+00;38;3;;;0;0;0
adb9e99a-d6d6-41b6-bcfc-5b63c3e81ba1;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;1.20;36.00;0.00;pacote;;2026-05-06 17:34:00+00;2026-05-07 01:59:29.54012+00;12;3;;;0;0;0
406ee958-7140-488a-aeb3-da67ec12ba13;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;11.00;153.00;0.00;pacote;;2026-05-07 11:25:00+00;2026-05-08 01:09:30.902803+00;51;3;;;0;0;0
28628258-4847-4750-8a61-664ed96fe3c8;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Final de Linha;19.00;150.00;0.00;pacote;;2026-05-07 16:39:00+00;2026-05-08 01:12:12.35338+00;50;3;;;0;0;0
0486189c-871f-451d-a209-12a597b6962b;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;13.00;120.00;0.00;pacote;;2026-05-08 10:30:00+00;2026-05-08 20:27:21.525019+00;40;3;;;0;0;0
109e15e3-3192-441a-95bd-17dad4a9ec1d;350e6d7e-edc3-446e-9103-a84211e27dce;c2e6d8c8-f49b-428f-9114-89c9b81db80e;COBASI - Shopping Salvador;Sussuara;13.31;35.57;0.00;alimento;;2026-05-09 19:39:00+00;2026-05-10 01:56:24.463278+00;1;35.57;;;0;0;0
6a925f2f-521c-43d5-815c-0d05103746a5;350e6d7e-edc3-446e-9103-a84211e27dce;c2e6d8c8-f49b-428f-9114-89c9b81db80e;Drogasil - Costa Azul 3;R. Bicuíba - Patamares;22.14;35.28;0.00;pacote;;2026-05-09 21:45:00+00;2026-05-10 01:57:46.440348+00;1;35.28;;;0;0;0
c657d30b-f43e-4ca9-9810-ad974e065e58;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;6.00;165.00;0.00;pacote;;2026-05-11 12:01:00+00;2026-05-12 22:02:38.498328+00;55;3;;;0;0;0
c2919b31-1cae-4470-9bb3-e1e022f05663;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Tomaz Gonzaga Alta;26.00;342.00;0.00;pacote;;2026-05-11 13:02:00+00;2026-05-12 22:03:59.870407+00;114;3;;;0;0;0
4de4dd25-8d03-46e6-9cad-62ecb0e7032f;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Tomaz Gonzaga Alta;6.00;39.00;0.00;pacote;;2026-05-12 11:48:00+00;2026-05-12 22:49:35.470514+00;13;3;;;0;0;0
e2d8e82b-47ae-4013-a88d-6d5aca23dd5d;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;26.00;222.00;0.00;pacote;;2026-05-12 14:49:00+00;2026-05-12 22:51:18.46728+00;74;3;;;0;0;0
15bb08b5-c3cc-4721-b5be-f8b30c0e47cf;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;12.00;165.00;0.00;pacote;;2026-05-10 11:31:00+00;2026-05-13 00:32:09.461923+00;55;3;;;0;0;0
47c40b91-4c7c-4fa5-a7b9-42d1d0511ef6;350e6d7e-edc3-446e-9103-a84211e27dce;e3a07dde-b441-4da2-b4ba-2244bcca3e97;Pernambués;Av. Hilda;28.00;231.00;0.00;pacote;;2026-05-14 01:29:00+00;2026-05-14 01:29:53.56913+00;77;3;2026-05-13 09:46:00+00;2026-05-13 19:33:00+00;96;17982;18010
